nroTicket;nroComprobante;fechaEjecucion;fechaLiquidacion;tipoOperacion;instrumento;moneda;mercado;cantidad;precio;montoBruto;comision;ddmm;iva;otros;total
79547921;19254;02-01-2026;02-01-2026;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;10.361,2481;10.052,843;-104.160;0;0;0;0;-104.160
79112549;185679;02-01-2026;02-01-2026;Recibo De Cobro;;ARS;;;;193.000;0;0;0;0;193.000
79245866;37069;02-01-2026;02-01-2026;Compra;CEDEAR SPDR S&P 500 (SPY);ARS;BYMA;3;52.575;-157.725;-709,7625;-78,8625;-165,6113;0;-158.679,24
79902608;88353;05-01-2026;05-01-2026;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;1.166,4406;10.077,667;-11.755;0;0;0;0;-11.755
79650213;558805;05-01-2026;05-01-2026;Recibo De Cobro;;ARS;;;;65.000;0;0;0;0;65.000
79732469;65577;05-01-2026;05-01-2026;Compra;CEDEAR SPDR S&P 500 (SPY);ARS;BYMA;1;52.925;-52.925;-238,1625;-26,4625;-55,5713;0;-53.245,2
85866604;674698;26-01-2026;26-01-2026;Liquidacion Rescate Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;-7.955,7881;10.244,114;81.500;0;0;0;0;81.500
85148328;4196904;26-01-2026;26-01-2026;Orden De Pago;;ARS;;;;-81.500,56;0;0;0;0;-81.500,56
85820601;4772748;27-01-2026;27-01-2026;Recibo De Cobro;;ARS;;;;81.500;0;0;0;0;81.500
86179578;720333;27-01-2026;27-01-2026;Liquidacion Suscripcion Fci;FCI COCOS RENDIMIENTO CL. A $ ESC (COCORMA);ARS;;7.950,1251;10.251,411;-81.500;0;0;0;0;-81.500
86480639;5174442;29-01-2026;29-01-2026;Orden De Pago Usd;;USD;;;;-19,14;0;0;0;0;-19,14
86484041;5177844;29-01-2026;29-01-2026;Recibo De Cobro;;ARS;;;;426.074,79;0;0;0;0;426.074,79
86484059;5177862;29-01-2026;29-01-2026;Recibo De Cobro;;ARS;;;;40.000;0;0;0;0;40.000
86485062;5178689;29-01-2026;29-01-2026;Orden De Pago Usd;;USD;;;;-150;0;0;0;0;-150
86480615;5174418;29-01-2026;29-01-2026;Recibo De Cobro;;ARS;;;;81.031;0;0;0;0;81.031
